Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
114,0.3853,0.398,0.8254,0.8225,0.9021,0.8951,0.7966,0.7913,0.8335,0.8315,0.874,0.8759,0.8793,0.8635,0.8793,0.8636
115,0.3858,0.406,0.8264,0.824,0.9017,0.8932,0.7984,0.7887,0.8342,0.8341,0.8733,0.8852,0.8798,0.8575,0.8798,0.8576
116,0.3853,0.3988,0.8253,0.8235,0.9022,0.8961,0.7961,0.7843,0.8335,0.8348,0.8745,0.8922,0.8818,0.8622,0.8818,0.8623
117,0.3818,0.4002,0.8291,0.8211,0.9039,0.8954,0.8007,0.7889,0.8368,0.8306,0.8762,0.877,0.8821,0.861,0.8821,0.8611
118,0.3851,0.4017,0.8259,0.8235,0.9022,0.8954,0.7976,0.788,0.8338,0.8337,0.8736,0.8849,0.8802,0.8612,0.8802,0.8612
119,0.3846,0.3996,0.8266,0.8254,0.9025,0.8963,0.7986,0.7891,0.8344,0.8358,0.8735,0.8883,0.8812,0.8633,0.8812,0.8634
120,0.3832,0.4076,0.8265,0.8182,0.9031,0.8958,0.7981,0.7709,0.8344,0.8328,0.8741,0.9054,0.8812,0.8606,0.8812,0.8607
121,0.3866,0.4192,0.8262,0.8133,0.9013,0.8922,0.7981,0.7587,0.834,0.8311,0.8732,0.9189,0.8799,0.8584,0.8799,0.8585
122,0.3856,0.4022,0.8264,0.8214,0.9025,0.8942,0.7966,0.7913,0.8347,0.8301,0.8766,0.873,0.8805,0.8596,0.8805,0.8597
123,0.383,0.403,0.8265,0.8176,0.9032,0.8935,0.7975,0.7846,0.8345,0.8276,0.8751,0.8757,0.8823,0.8604,0.8823,0.8605
124,0.3848,0.3993,0.8276,0.8226,0.9023,0.8957,0.7993,0.8007,0.8354,0.8288,0.8748,0.8589,0.8796,0.8633,0.8796,0.8634
125,0.3804,0.4001,0.8293,0.824,0.905,0.897,0.8011,0.8164,0.837,0.8261,0.8763,0.836,0.8831,0.8636,0.8832,0.8637
126,0.3833,0.4013,0.8272,0.8231,0.9034,0.8952,0.7986,0.8033,0.835,0.8287,0.8749,0.8559,0.8826,0.8611,0.8826,0.8612
127,0.3794,0.4106,0.8288,0.8196,0.9051,0.895,0.8002,0.7704,0.8366,0.8346,0.8764,0.9105,0.8845,0.8615,0.8845,0.8615
128,0.385,0.4021,0.8279,0.8212,0.9026,0.896,0.7988,0.7847,0.8358,0.832,0.8765,0.8854,0.8804,0.8618,0.8804,0.8619
129,0.3819,0.3963,0.8269,0.8257,0.9037,0.8974,0.7976,0.7994,0.835,0.833,0.876,0.8695,0.8815,0.8657,0.8815,0.8657
130,0.3803,0.4023,0.8281,0.8238,0.9046,0.8952,0.7993,0.7884,0.836,0.834,0.8763,0.8852,0.8827,0.8602,0.8827,0.8602
131,0.3779,0.4015,0.8318,0.8243,0.906,0.8969,0.8028,0.7818,0.8395,0.8366,0.8797,0.8997,0.8859,0.8649,0.8859,0.865
