Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
65,0.3685,0.3585,0.8401,0.8482,0.9108,0.9166,0.8098,0.8217,0.8476,0.8542,0.8891,0.8893,0.8876,0.8926,0.8876,0.8927
66,0.3668,0.3447,0.8401,0.856,0.9118,0.9212,0.8099,0.8307,0.8476,0.8614,0.8889,0.8943,0.8892,0.8959,0.8892,0.8959
67,0.3642,0.3542,0.8426,0.8512,0.9125,0.9175,0.8122,0.8152,0.8499,0.8592,0.8912,0.9083,0.8898,0.8934,0.8898,0.8934
68,0.3653,0.3502,0.8418,0.8534,0.9121,0.9194,0.811,0.8139,0.8493,0.862,0.8913,0.9163,0.8888,0.8943,0.8888,0.8943
69,0.3641,0.3661,0.843,0.8487,0.913,0.9177,0.8127,0.81,0.8503,0.8577,0.8916,0.9113,0.8907,0.8923,0.8907,0.8923
70,0.3621,0.3521,0.8437,0.8536,0.9137,0.921,0.8131,0.8236,0.8509,0.8601,0.8924,0.9001,0.8912,0.8967,0.8912,0.8968
71,0.3387,0.3391,0.8559,0.8627,0.924,0.9255,0.8241,0.8295,0.8626,0.8693,0.9049,0.9132,0.9026,0.9002,0.9026,0.9002
72,0.333,0.334,0.8602,0.8654,0.9262,0.9268,0.8281,0.8336,0.8667,0.8715,0.9092,0.913,0.905,0.9003,0.905,0.9004
73,0.3299,0.331,0.8608,0.8656,0.9273,0.928,0.8288,0.8321,0.8673,0.872,0.9094,0.916,0.9071,0.9022,0.9071,0.9022
74,0.3279,0.3326,0.862,0.8662,0.9281,0.9276,0.8302,0.8294,0.8683,0.8733,0.9101,0.922,0.9075,0.9011,0.9075,0.9011
75,0.3263,0.3299,0.8626,0.8655,0.9289,0.9285,0.8308,0.8299,0.8689,0.8724,0.9107,0.9194,0.9086,0.9036,0.9086,0.9036
76,0.3254,0.3293,0.8634,0.8675,0.929,0.9282,0.8317,0.8406,0.8696,0.8725,0.9111,0.907,0.9089,0.9028,0.9089,0.9028
77,0.3254,0.3325,0.8642,0.8676,0.9291,0.9282,0.8323,0.8345,0.8704,0.8739,0.9121,0.9172,0.9086,0.9036,0.9086,0.9036
78,0.3235,0.3299,0.8641,0.867,0.9301,0.9285,0.8325,0.828,0.8703,0.8745,0.9116,0.9265,0.9102,0.9036,0.9102,0.9036
79,0.324,0.3249,0.8639,0.8675,0.9298,0.93,0.8322,0.8362,0.8701,0.8734,0.9117,0.9141,0.91,0.9056,0.91,0.9056
80,0.3221,0.3287,0.8653,0.8677,0.9305,0.9294,0.8336,0.8381,0.8714,0.8733,0.9127,0.9116,0.9104,0.9044,0.9104,0.9044
81,0.3204,0.3309,0.8654,0.8681,0.9314,0.9289,0.8346,0.8354,0.8713,0.8742,0.9114,0.9168,0.9125,0.9046,0.9125,0.9046
82,0.3202,0.3266,0.8658,0.869,0.9314,0.9297,0.8341,0.836,0.8719,0.8752,0.9133,0.9182,0.9123,0.9046,0.9123,0.9046
83,0.3193,0.3295,0.8666,0.8674,0.9317,0.9308,0.8353,0.8274,0.8725,0.875,0.9132,0.9285,0.9129,0.9066,0.9129,0.9066
84,0.3183,0.3275,0.8666,0.8702,0.9321,0.9307,0.8353,0.8363,0.8726,0.8765,0.9133,0.9206,0.9133,0.9064,0.9133,0.9064
85,0.3184,0.321,0.8672,0.8718,0.9321,0.9315,0.836,0.8433,0.873,0.8769,0.9135,0.9132,0.913,0.9069,0.913,0.9069
86,0.3173,0.3257,0.8687,0.8691,0.9325,0.9305,0.837,0.8458,0.8746,0.8733,0.9157,0.9027,0.9134,0.9053,0.9134,0.9054
87,0.3164,0.3279,0.8681,0.8674,0.9329,0.9304,0.8371,0.8451,0.8739,0.8715,0.9141,0.8997,0.9133,0.9061,0.9133,0.9061
88,0.3152,0.3233,0.8682,0.8719,0.9333,0.9313,0.8368,0.8475,0.874,0.8762,0.9148,0.907,0.9146,0.9053,0.9146,0.9054
89,0.3151,0.3263,0.8686,0.8709,0.9336,0.9307,0.8377,0.8316,0.8743,0.8781,0.9143,0.9301,0.9145,0.9065,0.9145,0.9065
90,0.3143,0.3273,0.8687,0.8736,0.9339,0.9308,0.8374,0.8349,0.8745,0.8805,0.9151,0.9313,0.9149,0.9053,0.9149,0.9053
91,0.3139,0.3181,0.8695,0.8753,0.9338,0.9324,0.8383,0.8418,0.8752,0.8811,0.9156,0.9242,0.9155,0.9077,0.9155,0.9077
92,0.3131,0.3272,0.8703,0.8688,0.9342,0.9309,0.8391,0.8397,0.876,0.8741,0.9164,0.9116,0.9153,0.9056,0.9153,0.9056
